"","University of Illinois",""
"Timestamp","New Nexus 1272 Meter","Inverters"
"","kW","kW"
"11/3/2018 12:00 AM","-9.92","0"
"11/3/2018 12:15 AM","-9.88","0"
"11/3/2018 12:30 AM","-9.83","0"
"11/3/2018 12:45 AM","-9.98","0"
"11/3/2018 1:00 AM","-9.97","0"
"11/3/2018 1:15 AM","-9.92","0"
"11/3/2018 1:30 AM","-9.95","0"
"11/3/2018 1:45 AM","-9.91","0"
"11/3/2018 2:00 AM","-9.92","0"
"11/3/2018 2:15 AM","-9.96","0"
"11/3/2018 2:30 AM","-10","0"
"11/3/2018 2:45 AM","-10","0"
"11/3/2018 3:00 AM","-9.99","0"
"11/3/2018 3:15 AM","-9.79","0"
"11/3/2018 3:30 AM","-9.81","0"
"11/3/2018 3:45 AM","-9.9","0"
"11/3/2018 4:00 AM","-13.6","0"
"11/3/2018 4:15 AM","-9.87","0"
"11/3/2018 4:30 AM","-9.77","0"
"11/3/2018 4:45 AM","-11.2","0"
"11/3/2018 5:00 AM","-12.9","0"
"11/3/2018 5:15 AM","-12","0"
"11/3/2018 5:30 AM","-11.2","0"
"11/3/2018 5:45 AM","-12.2","0"
"11/3/2018 6:00 AM","-11","0"
"11/3/2018 6:15 AM","-14.8","0"
"11/3/2018 6:30 AM","-10.3","0"
"11/3/2018 6:45 AM","-10.2","0"
"11/3/2018 7:00 AM","-14.3","0"
"11/3/2018 7:15 AM","-0.799","13.8"
"11/3/2018 7:30 AM","67.3","81.9"
"11/3/2018 7:45 AM","256","270"
"11/3/2018 8:00 AM","466","478"
"11/3/2018 8:15 AM","633","638"
"11/3/2018 8:30 AM","577","587"
"11/3/2018 8:45 AM","424","435"
"11/3/2018 9:00 AM","519","531"
"11/3/2018 9:15 AM","932","958"
"11/3/2018 9:30 AM","1635","1667"
"11/3/2018 9:45 AM","2011","2028"
"11/3/2018 10:00 AM","2024","2089"
"11/3/2018 10:15 AM","2455","2430"
"11/3/2018 10:30 AM","2850","2897"
"11/3/2018 10:45 AM","3011","2973"
"11/3/2018 11:00 AM","2982","3006"
"11/3/2018 11:15 AM","2470","2501"
"11/3/2018 11:30 AM","2323","2308"
"11/3/2018 11:45 AM","2980","3103"
"11/3/2018 12:00 PM","3361","3400"
"11/3/2018 12:15 PM","2697","2738"
"11/3/2018 12:30 PM","3530","3414"
"11/3/2018 12:45 PM","2426","2288"
"11/3/2018 1:00 PM","2088","2159"
"11/3/2018 1:15 PM","3179","3187"
"11/3/2018 1:30 PM","1697","1717"
"11/3/2018 1:45 PM","1317","1338"
"11/3/2018 2:00 PM","1252","1270"
"11/3/2018 2:15 PM","1187","1207"
"11/3/2018 2:30 PM","1161","1175"
"11/3/2018 2:45 PM","394","411"
"11/3/2018 3:00 PM","1022","1045"
"11/3/2018 3:15 PM","913","928"
"11/3/2018 3:30 PM","616","629"
"11/3/2018 3:45 PM","1057","1076"
"11/3/2018 4:00 PM","693","706"
"11/3/2018 4:15 PM","448","461"
"11/3/2018 4:30 PM","197","211"
"11/3/2018 4:45 PM","65.9","82.7"
"11/3/2018 5:00 PM","47.5","63.3"
"11/3/2018 5:15 PM","11.3","25.5"
"11/3/2018 5:30 PM","-3.4","10.9"
"11/3/2018 5:45 PM","-11.1","0.398"
"11/3/2018 6:00 PM","-11.1","0"
"11/3/2018 6:15 PM","-10.6","0"
"11/3/2018 6:30 PM","-10.5","0"
"11/3/2018 6:45 PM","-10.5","0"
"11/3/2018 7:00 PM","-10.5","0"
"11/3/2018 7:15 PM","-10.2","0"
"11/3/2018 7:30 PM","-10.2","0"
"11/3/2018 7:45 PM","-10.1","0"
"11/3/2018 8:00 PM","-9.89","0"
"11/3/2018 8:15 PM","-9.75","0"
"11/3/2018 8:30 PM","-9.81","0"
"11/3/2018 8:45 PM","-9.77","0"
"11/3/2018 9:00 PM","-9.82","0"
"11/3/2018 9:15 PM","-9.74","0"
"11/3/2018 9:30 PM","-9.74","0"
"11/3/2018 9:45 PM","-9.82","0"
"11/3/2018 10:00 PM","-9.86","0"
"11/3/2018 10:15 PM","-9.87","0"
"11/3/2018 10:30 PM","-9.86","0"
"11/3/2018 10:45 PM","-9.93","0"
"11/3/2018 11:00 PM","-9.93","0"
"11/3/2018 11:15 PM","-9.8","0"
"11/3/2018 11:30 PM","-9.84","0"
"11/3/2018 11:45 PM","-9.91","0"
